Date,Consommation
2020-04-27,41073.479166666664
2020-04-28,42697.75
2020-04-29,43602.6875
2020-04-30,43987.458333333336
2020-05-01,39759.25
2020-05-02,39857.583333333336
2020-05-03,38463.979166666664
2020-05-04,42135.3125
2020-05-05,42716.395833333336
2020-05-06,42312.333333333336
2020-05-07,41799.125
2020-05-08,37728.25
2020-05-09,36990.6875
2020-05-10,36296.291666666664
2020-05-11,43494.270833333336
2020-05-12,45779.520833333336
2020-05-13,46562.166666666664
2020-05-14,46703.291666666664
2020-05-15,45529.145833333336
2020-05-16,40527.9375
2020-05-17,37860.979166666664
2020-05-18,42531.3125
2020-05-19,42898.666666666664
2020-05-20,42611.5625
2020-05-21,38090.020833333336
2020-05-22,39659.458333333336
2020-05-23,37610.5
2020-05-24,35793.895833333336
2020-05-25,41626.5
2020-05-26,42838.1875
2020-05-27,42803.895833333336
2020-05-28,42907.729166666664
2020-05-29,42270.020833333336
2020-05-30,37982.458333333336
2020-05-31,35618.708333333336
2020-06-01,37393.8125
2020-06-02,42894.25
2020-06-03,43628.645833333336
2020-06-04,43693.729166666664
2020-06-05,43366.583333333336
2020-06-06,38775.645833333336
2020-06-07,36911.958333333336
2020-06-08,42930.354166666664
2020-06-09,44508.229166666664
2020-06-10,44770.270833333336
2020-06-11,44800.833333333336
2020-06-12,44240.125
2020-06-13,39364.958333333336
2020-06-14,37228.020833333336
2020-06-15,43267.208333333336
2020-06-16,44451.708333333336
2020-06-17,44500.791666666664
2020-06-18,44550.5625
2020-06-19,43854.666666666664
2020-06-20,39341.5
2020-06-21,37086.895833333336
2020-06-22,43589.041666666664
2020-06-23,45050.229166666664
2020-06-24,45914.729166666664
2020-06-25,46564.458333333336
2020-06-26,45452.75
2020-06-27,40009.854166666664
2020-06-28,37856.4375
2020-06-29,44058.166666666664
2020-06-30,45217.4375
2020-07-01,45885.020833333336
2020-07-02,45685.791666666664
2020-07-03,44810.520833333336
2020-07-04,40295.979166666664
2020-07-05,38564.666666666664
2020-07-06,44645.458333333336
2020-07-07,45843.270833333336
2020-07-08,46453.0
2020-07-09,47202.520833333336
2020-07-10,46288.4375
2020-07-11,40725.375
2020-07-12,38254.5
2020-07-13,42454.895833333336
2020-07-14,40057.645833333336
2020-07-15,45087.854166666664
2020-07-16,45934.479166666664
2020-07-17,45792.0
2020-07-18,41063.25
2020-07-19,38785.125
